"city","state","shape"
"Eureka Springs","AR","Light"
"Addison (I-355 And Us 20 (Lake St.)","IL","Disk"
"Watertown","NY","Light"
"Elverta","CA","Light"
"Whittier","CA","Light"
"Somerset","WI","Light"
"Fairbanks","AK","Other"
"Denver","CO","Light"
"Columbia","MS","Teardrop"
"Grass Valley","CA","Triangle"
"Lima","OH","Teardrop"
"Springfield","MO","Fireball"
"Reno","NV","Sphere"
"Randolph","MA","Cylinder"
"Dallas","TX","Fireball"
"Austin","MN","Circle"
"New York City (Manhattan)","NY","Egg"
"Truckee","CA","Sphere"
"Newaygo","MI","Circle"
"Placerville","CA","Light"
"Bloomington","IN","Disk"
"Independence","MO","Chevron"
"Honolulu","HI","Triangle"
"Los Angeles","CA","Rectangle"
"Dallas","OR","Light"
"Pitman","NJ","Other"
"San Jose","CA","Light"
"Salinas","CA","Formation"
"Arroyo Grande","CA","Circle"
"Fresno","CA","Rectangle"
"Laredo","TX","Fireball"
"Lake Worth","FL","Formation"
"Williamsville","NY","Light"
"Holiday","FL","Light"
"Eagan","MN","Circle"
"Lake Point","UT","Light"
"Peoria","AZ","Light"
"Buckeye","AZ","Formation"
"Casa Grande","AZ","Light"
"Tempe","AZ","Triangle"
"Mobile","AL","Light"
"Little Ferry","NJ","Oval"
"Wall Lake","IA","Light"
"Nashville","TN","Disk"
"Monterey Park","CA","Fireball"
"Two Harbors","MN","Light"
"Pensacola","FL","Diamond"
"Milton","FL","Light"
"La Crescenta","CA","Circle"
"Enid","OK","Light"
"Pampa","TX","Triangle"
"Melbourne","KY","Oval"
"Carlton","OR","Cylinder"
"Clackamas","OR","Circle"
"Seattle","WA","Triangle"
"Tega Cay","SC","Light"
"Gulf Shores","AL","Disk"
"Brownsville","TX","Disk"
"Concord","CA","Light"
"Salisbury","NC","Sphere"
"Bridgeport","CT","Circle"
"Dover","MD","Sphere"
"Riverside","CA","Light"
"Naples","FL","Triangle"
"Centerville","TX","Light"
"Albuquerque","NM","Fireball"
"Los Angeles","CA","Triangle"
"Deer Park","NY","Other"
"Crisfield","MD","Light"
"Plymouth","MI","Triangle"
"Glendale","AZ","Egg"
"Louisville","KY","Disk"
"West Palm Beach","FL","Oval"
"North Smithfield","RI","Circle"
"Putnamville","IN","Flash"
"Madison","WI","Light"
"Redondo Beach","CA","Other"
"Albany","NY","Oval"
"West Palm Beach","FL","Sphere"
"Orangevale","CA","Changing"
"Cottage Grove","MN","Light"
"Glendora","CA","Circle"
"Ramona","CA","Triangle"
"Union City","CA","Other"
"Omaha","IL","Chevron"
"Henderson","NV","Other"
"Cedar City","UT","Light"
"Des Moines","IA","Light"
"New Bedford","MA","Circle"
"Holden Beach","NC","Circle"
"Watchung (Was My Perspective)","NJ","Sphere"
"Tewksbury","MA","Light"
"Angola","IN","Cigar"
"Arbutus","MD","Light"
"Forty Fort","PA","Fireball"
"Saratoga Springs","NY","Circle"
"Nanticoke","PA","Diamond"
"Las Cruces","NM","Fireball"
"Ravensdale","WA","Triangle"
"Levittown","PA","Diamond"
"Phoenix","AZ","Sphere"
"Blue Island","IL","Circle"
"Saginaw","MI","Chevron"
"Ankeny","IA","Circle"
"Palm Beach Gardens","FL","Light"
"Kalamazoo","MI","Fireball"
"Essex Junction","VT","Light"
"Cincinnati","OH","Circle"
"Cincinnati","OH","Fireball"
"Naples","FL","Light"
"Cincinnati","OH","Fireball"
"Union","KY","Fireball"
"Hubbardston","MA","Fireball"
"Covington","GA","Light"
"Drexel","OH","Sphere"
"Fayetteville","NY","Chevron"
"Jupiter","FL","Light"
"Melbourne","FL","Sphere"
"Dresser","WI","Sphere"
"Lombard","IL","Formation"
"North Canton","OH","Fireball"
"Pinckney","MI","Fireball"
"Pikeville","KY","Disk"
"Kansas City","MO","Disk"
"Flatwoods","WV","Circle"
"Newport","NH","Rectangle"
"Paterson","NJ","Disk"
"Toledo","OH","Sphere"
"Tulsa","OK","Disk"
"Nashville","TN","Disk"
"Graham","NC","Triangle"
"Biloxi","MS","Other"
"Colonial Heights","VA","Sphere"
"Dushore","PA","Disk"
"Buffalo","NY","Light"
"Anacortes","WA","Light"
"Corvallis","OR","Disk"
"Chaffee","NY","Sphere"
"Greenville","IL","Circle"
"Minneapolis","MN","Disk"
"Boston","MA","Cigar"
"Kennebunkport","ME","Circle"
"San Francisco","CA","Oval"
"New York City (Brooklyn)","NY","Disk"
"Bentonville","AR","Other"
"Tampa","FL","Other"
"New York City (Brooklyn)","NY","Disk"
"Pasadena","CA","Disk"
"Mosheim","TX","Disk"
"Monroe","WA","Rectangle"
"Montezuma","IN","Sphere"
"Virginia Beach","VA","Disk"
"Bloomington","IN","Light"
"Roseburg","OR","Cylinder"
"Beatty","NV","Disk"
"Hixson","TN","Oval"
"Valley City","OH","Disk"
"Weirton","WV","Sphere"
"Chester","NJ","Light"
"Maricopa","AZ","Changing"
"Hartville","OH","Disk"
"Fairport","NY","Disk"
"Thonotosassa","FL","Disk"
"Fountain Valley","CA","Other"
"Ferndale","CA","Other"
"Windsor","NC","Cone"
"Lecompte","LA","Disk"
"Francesville","IN","Cylinder"
"Lomita","CA","Disk"
"Columbia","MD","Rectangle"
"Buffalo","NY","Light"
"Olympia","WA","Disk"
"Pittsburgh","PA","Disk"
"Cranbury","NJ","Light"
"Fremont","CA","Other"
"Mountainboro","AL","Fireball"
"Shirleysburg","PA","Formation"
"Jersey City","NJ","Cigar"
"Hesperia","MI","Oval"
"Swartz Creek","MI","Fireball"
"Tarboro","NC","Disk"
"Waldport","OR","Light"
"Chatsworth","CA","Light"
"Acton","ME","Triangle"
"Brandon","FL","Triangle"
"Holton","MI","Light"
"Monroe","NC","Sphere"
"Jefferson","OH","Triangle"
"Lawrence","KS","Sphere"
"Klamath Falls","OR","Circle"
"Wheeling","WV","Light"
"Roseburg (7 Miles Northwest Of)","OR","Oval"
"Alstead","NH","Fireball"
"Louisburg","NC","Triangle"
"Mackay","ID","Disk"
"Winchester (Near)","KY","Oval"
"Jacksonville","IL","Circle"
"Pawling","NY","Oval"
"Carmichael","CA","Rectangle"
"Orono","ME","Disk"
"Pateros","WA","Oval"
"San Pedro","CA","Light"
"Jamestown","NY","Light"
"Easley","SC","Other"
"Wilmington","CA","Circle"
"Maryville","TN","Cigar"
"Little Rock","AR","Triangle"
"Mckenzie","TN","Disk"
"Las Vegas","NV","Cigar"
"Lafayette","GA","Other"
"Dublin (Near Warner Robins)","GA","Triangle"
"Springfield","MO","Egg"
"Tempe","AZ","Triangle"
"Delaware","OH","Light"
"Pryor","MT","Light"
"Pawnee","OK","Triangle"
"New York City","NY","Disk"
"Chicopee","MA","Changing"
"Santa Barbara","CA","Triangle"
"Warsaw","MO","Cigar"
"Las Vegas","NV","Circle"
"Fredericksburg","PA","Disk"
"Ashland","KY","Disk"
"Williamsburg","PA","Rectangle"
"Tinley Park","IL","Other"
"Wantagh","NY","Triangle"
"Dover","NH","Triangle"
"West Houston (Greenridge @ Westiemer Rd.; Near Galleria)","TX","Formation"
"Bainbridge","OH","Triangle"
"New York City (Manhattan)","NY","Oval"
"Cupertino","CA","Sphere"
"Safford","AZ","Sphere"
"The Woodlands","TX","Fireball"
"Bemidji","MN","Triangle"
"Garland","TX","Rectangle"
"Jefferson","NY","Other"
"Charlotte","NC","Cigar"
"Green Bay","WI","Light"
"Pelzer","SC","Triangle"
"Hyannis","MA","Triangle"
"Bourbonnais","IL","Triangle"
"Oakland","OR","Light"
"Martinsville","VA","Other"
"Summerville","SC","Triangle"
"Lakeland","FL","Light"
"Logan","UT","Triangle"
"Portland","OR","Light"
"St. Paul","OR","Fireball"
"Nisqually","WA","Disk"
"Rio Rancho","NM","Fireball"
"Bayfield","CO","Light"
"San Francisco","CA","Sphere"
"Elgin","IL","Disk"
"Del Mar","CA","Fireball"
"La Jolla (Over)","CA","Fireball"
"Manchester","NH","Oval"
"Clarinda","IA","Triangle"
"Ipava","IL","Triangle"
"Mosinee","WI","Other"
"San Antonio","TX","Fireball"
"Oak Brook","IL","Light"
"Portland","OR","Light"
"Elyria","OH","Triangle"
"Norman","OK","Cigar"
"Las Vegas","NV","Light"
"Independence","MO","Chevron"
"Vaughn","WA","Formation"
"Sturgis","MI","Disk"
"Madera","CA","Light"
"Stockton","CA","Sphere"
"Chandler","AZ","Cigar"
"Wheaton","MD","Triangle"
"Orange Park","FL","Other"
"Colorado Springs","CO","Light"
"Maryville","MO","Light"
"Jackson","TN","Triangle"
"Jones Beach","NY","Diamond"
"Kansas City","MO","Light"
"Houghton Lake","MI","Triangle"
"Greene","ME","Oval"
"Lafayette","NY","Changing"
"Lynden","WA","Light"
"Albany","NY","Flash"
"Courtland","VA","Circle"
"Oakland","CA","Oval"
"Everson","WA","Other"
"Port Townsend","WA","Fireball"
"Snohomish","WA","Sphere"
"Sumner","WA","Circle"
"Pueblo","CO","Triangle"
"Seattle","WA","Teardrop"
"Seattle","WA","Other"
"Lynnwood","WA","Fireball"
"Rainier","WA","Light"
"Monroe","WI","Light"
"Kingston","NY","Cigar"
"Germantown","MD","Cigar"
"Winslow","AZ","Other"
"Athol","ID","Teardrop"
"Grants","NM","Fireball"
"Port Hadlock","WA","Fireball"
"Orlando","FL","Other"
"New York City (Staten Island)","NY","Egg"
"New York City (Staten Island)","NY","Light"
"Castro Valley","CA","Other"
"New York City","NY","Changing"
"Saco","ME","Circle"
"Redmond","WA","Light"
"Long Beach (Sports Arena)","CA","Other"
"Bellevue","WA","Light"
"Rye","CO","Sphere"
"Oologah","OK","Other"
"Granville","MA","Circle"
"Circleville","OH","Light"
"Las Vegas","NV","Cylinder"
"Albuquerque","NM","Oval"
"Richmond","VA","Triangle"
"Sidney","MI","Sphere"
"Harrisburg","MO","Light"
"Oak Forest","IL","Circle"
"Oak Forest","IL","Light"
"Orland Park","IL","Diamond"
"Tinley Park","IL","Circle"
"Orland Park","IL","Light"
"Midlothian","IL","Light"
"Oak Forest","IL","Changing"
"Oak Forest","IL","Light"
"Tinley Park","IL","Circle"
"Tinley Park","IL","Formation"
"Tinley Park","IL","Triangle"
"Oak Forest","IL","Light"
"Evergreen Park","IL","Light"
"Alsip","IL","Light"
"Crestwood","IL","Light"
"Cuyahoga Falls","OH","Other"
"Hillside","IL","Changing"
"Manhattan","IL","Triangle"
"Oak Forest","IL","Cylinder"
"Oak Forest","IL","Light"
"Posen","IL","Light"
"Greenup","KY","Circle"
"Homestead","FL","Light"
"Albuquerque","NM","Disk"
"Lake Worth","FL","Sphere"
"Phoenix","AZ","Oval"
"Los Angeles","CA","Formation"
"West Palm Beach","FL","Teardrop"
"Rogers","MN","Triangle"
"Liberty Hill","TX","Light"
"San Jose","CA","Chevron"
"Oklahoma City","OK","Light"
"Tinley Park","IL","Light"
"Jones","MI","Oval"
"Rio Rancho","NM","Oval"
"Irving","TX","Circle"
"Montebello","CA","Other"
"New York City (Bronx)","NY","Rectangle"
"Mt. Pleasant","SC","Circle"
"Plainfield","IL","Oval"
"Thompson","MO","Cigar"
"Onion Creek","WA","Chevron"
"Monkton","MD","Oval"
"Las Vegas","NV","Fireball"
"Fall City","WA","Fireball"
"Orchards","WA","Fireball"
"Pullman","WA","Circle"
"Seattle","WA","Teardrop"
"Seattle","WA","Light"
"Roseville","CA","Sphere"
"Santa Fe","NM","Fireball"
"Winslow","AZ","Fireball"
"Glorieta","NM","Changing"
"Silver City","NM","Light"
"Wide Ruins","AZ","Cylinder"
"Boulder","CO","Oval"
"Canon City","CO","Light"
"Denver","CO","Circle"
"Hartsel","CO","Fireball"
"Mccoy","CO","Light"
"Pueblo West","CO","Sphere"
"Santa Fe","NM","Light"
"Taos","NM","Formation"
"Cascade","CO","Circle"
"Boulder (Foothills Of)","CO","Sphere"
"Cripple Creek","CO","Fireball"
"Raton","NM","Formation"
"Sedalia","CO","Formation"
"Silverthorne","CO","Light"
"Monument","CO","Other"
"Pueblo West","CO","Light"
"Farmington","NM","Light"
"San Antonio","NM","Circle"
"Escondido","CA","Diamond"
"Los Angeles","CA","Flash"
"Dayton","OH","Oval"
"Charlotte","NC","Light"
"Litchfield","IL","Oval"
"Granville","OH","Sphere"
"Beulaville","NC","Triangle"
"Ewa Beach","HI","Light"
"Tryon","NC","Light"
"Deer Park","NY","Other"
"Sanford","FL","Triangle"
"Dublin","CA","Flash"
"Conway","AR","Triangle"
"Bryan","OH","Cylinder"
"Merrick","NY","Disk"
"Huntington","WV","Cylinder"
"Lynchburg","VA","Light"
"Lanagan","MO","Light"
"Dallas","TX","Oval"
"Pell City","AL","Cigar"
"Warwick","RI","Circle"
"Bonham","TX","Egg"
"Cabazon","CA","Light"
"Marysville","WA","Circle"
"Texas City","TX","Other"
"Wilson","NC","Circle"
"Idaho Falls","ID","Light"
"Leavenworth","WA","Light"
"Renton","WA","Light"
"Wellington","AL","Light"
"Garrett","IN","Triangle"
"Arlington","TX","Sphere"
"Sunnyvale","CA","Other"
"Kingsport","TN","Triangle"
"Hogansville","GA","Disk"
"Pawtucket","RI","Cylinder"
"Canton","MI","Triangle"
"Whitefield","OK","Light"
"Memphis","TN","Oval"
"Providence","RI","Disk"
"Beaver","OH","Light"
"Belmont","MS","Triangle"
"Belleview","FL","Circle"
"Fairfield","CT","Light"
"Delray Beach","FL","Other"
"Aripeka","FL","Light"
"Middleton","WI","Other"
"Spotsylvania","VA","Circle"
"Waxahachie","TX","Disk"
"Dallas","TX","Other"
"Strasburg","VA","Cigar"
"Fayetteville","NC","Light"
"Brunswick","OH","Triangle"
"Arlington","WA","Oval"
"Rock Spring","GA","Light"
"San Benito","TX","Triangle"
"Clinton","MS","Circle"
"Goshen","CA","Oval"
"Wilmington","NC","Triangle"
"Cincinnati","OH","Sphere"
"Palatine","IL","Light"
"Hamburg","CA","Light"
"Carlsbad","CA","Fireball"
"Kansas City","MO","Fireball"
"Tenino","WA","Light"
"Mccomb","MS","Rectangle"
"Conyers","GA","Light"
"Homestead","FL","Formation"
"Colorado Springs","CO","Light"
"Surprise","AZ","Light"
"Sarasota","FL","Formation"
"Port Hueneme","CA","Light"
"Hinsdale","IL","Fireball"
"Eugene","OR","Light"
"Fontana","CA","Fireball"
"Racine","WI","Other"
"Capitola","CA","Light"
"Sauk Centre","MN","Triangle"
"Huntington","IN","Fireball"
"Colorado Springs","CO","Triangle"
"Bel Air","MD","Flash"
"Bakersfield","CA","Circle"
"Muncie","IN","Triangle"
"Boulder","CO","Light"
"Webster","NY","Sphere"
"Southwest Ranches","FL","Light"
"Tampa","FL","Light"
"Cumming","GA","Fireball"
"Sneedville","TN","Circle"
"Waterloo","IA","Triangle"
"Middle Island (Long Island)","NY","Fireball"
"Pittsburgh","PA","Circle"
"Pittsburgh","PA","Disk"
"Menands (Albany)","NY","Chevron"
"Birmingham (Just South Of)","AL","Disk"
"Emporia","KS","Disk"
"Dyersburg","TN","Triangle"
"Alpine","AZ","Circle"
"Barnegat","NJ","Rectangle"
"Pearlington","MS","Light"
"Swansboro","NC","Disk"
"Schenectady","NY","Other"
"Monticello","KY","Chevron"
"Okeechobee","FL","Disk"
"Pueblo","CO","Triangle"
"Huntington Beach","CA","Sphere"
"Kenner (34Th St.)","LA","Disk"
"Chicago","IL","Light"
"Franklin","NH","Other"
"Lincoln","NE","Egg"
"Murray","UT","Light"
"Asheville","NC","Fireball"
"Asheville","NC","Light"
"Missoula","MT","Triangle"
"Albany","OR","Fireball"
"Miami","OK","Oval"
"Breezewood","PA","Fireball"
"Scottsdale","AZ","Cigar"
"Palominas (Near Ft. Huachuca)","AZ","Triangle"
"Port Townsend","WA","Triangle"
"Phoenix","AZ","Fireball"
"Tulsa","OK","Other"
"Little Falls (North Of)","MN","Formation"
"Breckenridge","TX","Other"
"Mountain City","TN","Disk"
"New Haven","WV","Disk"
"Belmont","VT","Cigar"
"Gilbert","AZ","Oval"
"Tulsa","OK","Fireball"
"Buckeye","AZ","Light"
"Miami (Kendall)","FL","Circle"
"Miami","FL","Disk"
"Denver","CO","Disk"
"Phoenix","AZ","Formation"
"Eagle River","AK","Other"
"San Leandro","CA","Disk"
"Winfield","TX","Circle"
"Tinton Falls","NJ","Light"
"Prescott","AZ","Formation"
"Renton","WA","Disk"
"Rose Lake","ID","Light"
"Paris","TX","Triangle"
"Boca Raton","FL","Light"
"Paris","TX","Triangle"
"Antioch","CA","Circle"
"Auburn","PA","Fireball"
"Rosamond","CA","Other"
"South Bend","IN","Other"
"Reevesville","SC","Other"
"Dallas","TX","Sphere"
"Fort Morgan","CO","Sphere"
"Tacoma","WA","Formation"
"Ripon","CA","Other"
"Rockville","MD","Light"
"Utica","NY","Light"
"Hayward","CA","Sphere"
"Miami","FL","Light"
"North Port","FL","Light"
"Belfair","WA","Fireball"
"Rocklin","CA","Triangle"
"Bakersfield","CA","Fireball"
"Bossier City","LA","Oval"
"Longwood","FL","Formation"
"Farmland","IN","Light"
"Noblesville","IN","Light"
"Phoenix","AZ","Light"
"Mesa","AZ","Sphere"
"Peoria","AZ","Triangle"
"Georgetown","TX","Changing"
"Seekonk","MA","Formation"
"Altamonte Springs","FL","Sphere"
"Pontiac","MI","Light"
"Boulder","CO","Triangle"
"Ogden","UT","Triangle"
"Sedalia","MO","Formation"
"New York City","NY","Light"
"Arcadia","FL","Formation"
"Fort Washington","PA","Sphere"
"Appleton","WI","Circle"
"Irvine","CA","Circle"
"York","PA","Oval"
"Dingmans Ferry","PA","Triangle"
"Islip (Central)","NY","Light"
"Russellton","PA","Cigar"
"Reading","PA","Diamond"
"Rio Rancho","NM","Disk"
"Larksville","PA","Other"
"Nicholasville","KY","Circle"
"Tacoma","WA","Light"
"Mckinney","TX","Light"
"Manchester","TN","Changing"
"Gainesville","VA","Light"
"Las Vegas","NV","Changing"
"Wayne","MI","Circle"
"Mcdonough","GA","Formation"
"Yakima","WA","Light"
"Cross Roads","TX","Triangle"
"Tomball","TX","Cigar"
"Sioux Falls","SD","Light"
"Milpitas","CA","Other"
"Waco","TX","Oval"
"Hillsdale","MI","Circle"
"Arlington","VA","Sphere"
"Dallas","TX","Cigar"
"Daphne","AL","Chevron"
"Bridgeton","MO","Rectangle"
"Boston","MA","Disk"
"Lufkin","TX","Chevron"
"Pinellas Park","FL","Circle"
"Waterloo","IA","Light"
"Knoxville","TN","Light"
"Waco","TX","Changing"
"Whitesburg","TN","Circle"
"Ocean Isle Beach","NC","Light"
"St. George","UT","Disk"
"San Antonio","TX","Triangle"
"Zortman","MT","Light"
"Titusville","FL","Fireball"
"Pittsburgh","PA","Rectangle"
"Bessemer","PA","Circle"
"Big Rock","TN","Sphere"
"Clarksville","TN","Circle"
"Ashland","OR","Cylinder"
"Waynesburg (North Of)","PA","Light"
"Salem","OR","Oval"
"Phoenix","AZ","Other"
"Buckeye","AZ","Light"
"Lake Worth","FL","Chevron"
"Lake Worth","FL","Cylinder"
"Shapleigh","ME","Changing"
"Hadlyme","CT","Light"
"Tucson","AZ","Chevron"
"Cumberland","MD","Light"
"Waukesha","WI","Circle"
"Oklahoma City","OK","Sphere"
"Wellington","FL","Fireball"
"Grayling","MI","Light"
"Anchorage","AK","Fireball"
"Marlton","NJ","Circle"
"Ridley Park","PA","Light"
"Wolcott","CT","Circle"
"Cambridge","NY","Light"
"Strongsville","OH","Triangle"
"Festus","MO","Fireball"
"Owego","NY","Disk"
"Kodiak","AK","Other"
"St. Louis","MO","Formation"
"Clarkston","MI","Triangle"
"Columbus","OH","Changing"
"Finleyville","PA","Other"
"Lima","OH","Formation"
"North Judson","IN","Light"
"Suffolk","VA","Triangle"
"Morganton","NC","Light"
"Hamilton","OH","Formation"
"Austin","TX","Triangle"
"Franklin","OH","Light"
"Hamilton","OH","Fireball"
"West Chester","OH","Light"
"Miamisburg","OH","Fireball"
"Peoria","IL","Formation"
"Aspen (~2 Hrs. W Of; Driving)","CO","Formation"
"Grand Junction (East Of; On I-70)","CO","Light"
"Hilliard","OH","Diamond"
"Hiawassee","GA","Circle"
"Lombard","IL","Other"
"Anderson","SC","Circle"
"Orangevale","CA","Fireball"
"Mission","TX","Disk"
"Millington","TN","Formation"
"Memphis","TN","Formation"
"Bristol","CT","Disk"
"Weldon","NC","Oval"
"Rising Sun","MD","Sphere"
"Farmington","MO","Cylinder"
"New York City","NY","Light"
"Reno","NV","Triangle"
"Gainesville","FL","Circle"
"Astoria (Outside Of)","OR","Circle"
"Odessa","TX","Diamond"
"Encino","CA","Triangle"
"Reno","NV","Other"
"Hollister","CA","Light"
"Santa Fe","NM","Disk"
"Florence","KY","Triangle"
"Pittsburgh","PA","Other"
"Boscobel","WI","Light"
"Lansing","MI","Circle"
"Forest Hills","NY","Circle"
"Tulsa","OK","Fireball"
"Newton","KS","Fireball"
"Wichita","KS","Other"
"Knoxville","TN","Cylinder"
